,room_type,accommodates,bedrooms,beds,host_response_rate,latitude,longitude,number_of_reviews,review_scores_rating,bath_size,bath_type,price_log
1645,Shared room,1,1.0,1.0,0,13.72067,100.76458,2,5.0,3.0,shared bath,5.966146739123692
1646,Private room,4,1.0,2.0,0,13.70388,100.59874,0,0.0,1.0,private bath,8.070906088787819
1647,Shared room,1,1.0,1.0,0,13.72109,100.76556,0,0.0,3.0,shared bath,5.966146739123692
1648,Entire home/apt,1,1.0,1.0,0,13.73975,100.58551,0,0.0,1.0,bath,6.684611727667927
1649,Entire home/apt,2,1.0,1.0,100,13.71598,100.58366,33,4.91,1.0,bath,6.396929655216146
1650,Entire home/apt,3,1.0,2.0,0,13.81739,100.5661,0,0.0,1.0,bath,7.549609165154532
1651,Entire home/apt,4,1.0,1.0,90,13.74176,100.56219,107,4.75,1.5,bath,7.408530566894626
1652,Shared room,1,1.0,1.0,0,13.72218,100.76445,0,0.0,3.0,shared bath,5.966146739123692
1653,Entire home/apt,2,1.0,1.0,100,13.78038,100.57348,149,4.83,1.0,bath,6.54965074223381
1654,Private room,2,1.0,1.0,0,13.76324,100.50023,0,0.0,4.0,bath,6.802394763324311
1655,Private room,3,1.0,3.0,0,13.76328,100.50217,2,5.0,4.0,bath,6.802394763324311
1656,Private room,2,1.0,1.0,0,13.72089,100.76421,5,4.6,1.0,bath,6.476972362889683
1657,Entire home/apt,5,1.0,1.0,100,13.67219,100.60522,42,4.24,1.0,bath,6.620073206530356
1658,Private room,1,1.0,1.0,0,13.72267,100.76387,1,5.0,1.0,bath,6.309918278226516
1659,Private room,3,1.0,2.0,0,13.76141,100.50168,0,0.0,4.0,bath,6.907755278982137
1660,Private room,3,1.0,2.0,0,13.76204,100.50041,1,5.0,4.0,bath,6.907755278982137
1661,Entire home/apt,2,1.0,1.0,100,13.702454,100.598946,19,4.95,1.0,bath,6.47543271670409
1662,Private room,2,1.0,1.0,100,13.89425,100.58282,86,4.91,2.5,shared bath,6.396929655216146
1663,Entire home/apt,3,1.0,1.0,0,13.73465,100.5036,155,4.97,1.0,bath,7.371489295214277
1664,Hotel room,2,1.0,2.0,99,13.78799,100.5485,30,4.53,1.0,private bath,6.745236349484363
1665,Private room,2,1.0,1.0,100,13.72328,100.54539,133,4.83,2.0,shared bath,6.769641976852503
1666,Entire home/apt,2,1.0,1.0,100,13.70482,100.60292,309,4.91,1.0,bath,6.946013991099227
1667,Private room,3,1.0,2.0,0,13.706,100.59947,0,0.0,1.0,private bath,7.6255950721324535
1668,Hotel room,2,1.0,2.0,80,13.78822,100.54807,82,4.59,1.0,private bath,6.745236349484363
1669,Private room,2,1.0,1.0,100,13.69415,100.36831,0,0.0,2.0,bath,6.1092475827643655
1670,Entire home/apt,2,1.0,1.0,100,13.7251,100.53016,140,4.55,1.0,bath,6.840546529288687
1671,Hotel room,2,1.0,1.0,58,13.75993,100.54533,195,4.58,1.0,private bath,7.317876198626496
1672,Private room,2,1.0,1.0,100,13.67737,100.5173,2,5.0,1.0,bath,6.489204931325317
1673,Private room,2,1.0,1.0,86,13.72973,100.52946,22,4.05,1.0,bath,6.887552571664617
1674,Entire home/apt,2,1.0,1.0,100,13.72079,100.51834,30,4.79,1.0,bath,7.495541943884256
1675,Hotel room,2,1.0,2.0,99,13.78989,100.55014,6,4.33,1.0,private bath,6.745236349484363
1676,Private room,2,1.0,2.0,0,13.73725,100.56755,6,5.0,1.0,private bath,7.491645473605133
1677,Entire home/apt,2,1.0,1.0,100,13.72762,100.57003,68,4.91,1.0,bath,7.937374696163295
1678,Hotel room,2,1.0,2.0,99,13.78984,100.55002,140,4.62,1.0,private bath,6.745236349484363
1679,Private room,2,1.0,1.0,0,13.76275,100.54083,0,0.0,1.0,bath,7.793174347189205
1680,Private room,2,1.0,1.0,100,13.77134,100.62777,7,4.29,1.0,private bath,6.672032945461067
1681,Private room,2,1.0,1.0,0,13.78559,100.57267,8,4.86,1.0,bath,8.149890544402423
1682,Entire home/apt,4,2.0,2.0,100,13.82466,100.56869,13,4.77,1.0,bath,7.793174347189205
1683,Entire home/apt,4,2.0,2.0,0,13.67201,100.50048,0,0.0,2.0,bath,8.006367567650246
1684,Private room,3,1.0,2.0,0,13.67954,100.61715,0,0.0,1.0,bath,7.1308988302963465
1685,Entire home/apt,2,1.0,1.0,0,13.70487,100.54064,0,0.0,1.0,bath,8.135639903354386
1686,Entire home/apt,2,1.0,1.0,0,13.72212,100.50399,0,0.0,1.0,bath,8.006367567650246
1687,Hotel room,2,1.0,1.0,99,13.72631,100.53019,23,4.39,1.0,private bath,6.659293919683638
1688,Private room,2,1.0,2.0,100,13.71757,100.55011,6,4.83,1.0,private bath,6.840546529288687
1689,Entire home/apt,2,1.0,1.0,99,13.72717,100.53171,110,4.55,1.0,bath,7.535830462798367
1690,Private room,3,1.0,1.0,100,13.73233,100.58235,67,4.78,1.0,shared bath,6.802394763324311
1691,Entire home/apt,10,3.0,8.0,0,13.73648,100.64561,0,0.0,3.0,bath,7.404279118037268
1692,Entire home/apt,4,2.0,2.0,100,13.72056,100.52902,43,4.72,2.0,bath,8.231376045573969
